,movie,years,mpaa_ratings,fan_stars,genres,creators,imdb_reference
0,Eternals,2021,-,-,"['Action', 'Adventure', 'Drama']","['Chloé Zhao', 'Angelina Jolie', 'Gemma Chan', 'Richard Madden', 'Barry Keoghan']",tt9032400
1,Lucifer,2016,TV-14,8.1,"['Crime', 'Drama', 'Fantasy']","['Tom Ellis', 'Lauren German', 'Lesley-Ann Brandt', 'Kevin Alejandro']",tt4052886
2,The Mitchells vs the Machines,2021,PG,7.8,"['Animation', 'Adventure', 'Comedy']","['Michael Rianda', 'Jeff Rowe', 'Abbi Jacobson', 'Danny McBride', 'Maya Rudolph', 'Michael Rianda']",tt7979580
3,This Is Us,2016,TV-14,8.7,"['Comedy', 'Drama', 'Romance']","['Milo Ventimiglia', 'Mandy Moore', 'Sterling K. Brown', 'Chrissy Metz']",tt5555260
4,Fear the Walking Dead,2015,TV-MA,6.9,"['Drama', 'Horror', 'Sci-Fi']","['Kim Dickens', 'Frank Dillane', 'Cliff Curtis', 'Rubén Blades']",tt3743822
5,Avengers: Endgame,2019,PG-13,8.4,"['Action', 'Adventure', 'Drama']","['Anthony Russo', 'Joe Russo', 'Robert Downey Jr.', 'Chris Evans', 'Mark Ruffalo', 'Chris Hemsworth']",tt4154796
6,The Simpsons,1989,TV-PG,8.6,"['Animation', 'Comedy']","['Dan Castellaneta', 'Nancy Cartwright', 'Harry Shearer', 'Julie Kavner']",tt0096697
7,Family Guy,1999,TV-14,8.1,"['Animation', 'Comedy']","['Seth MacFarlane', 'Alex Borstein', 'Seth Green', 'Mila Kunis']",tt0182576
8,A Million Little Things,2018,TV-14,7.9,"['Comedy', 'Drama', 'Romance']","['David Giuntoli', 'Romany Malco', 'Allison Miller', 'Christina Moses']",tt7608248
9,Arrow,2012,TV-14,7.5,"['Action', 'Adventure', 'Crime']","['Stephen Amell', 'Katie Cassidy', 'David Ramsey', 'Susanna Thompson']",tt2193021
10,The New Mutants,2020,PG-13,5.3,"['Action', 'Horror', 'Mystery']","['Josh Boone', 'Maisie Williams', 'Anya Taylor-Joy', 'Charlie Heaton', 'Alice Braga']",tt4682266
11,Mindhunter,2017,TV-MA,8.6,"['Crime', 'Drama', 'Thriller']","['Jonathan Groff', 'Holt McCallany', 'Anna Torv', 'Hannah Gross']",tt5290382
12,Euphoria,2019,TV-MA,8.4,['Drama'],"['Zendaya', 'Hunter Schafer', 'Jacob Elordi', 'Maude Apatow']",tt8772296
13,Mr. Robot,2015,TV-MA,8.5,"['Crime', 'Drama', 'Thriller']","['Rami Malek', 'Christian Slater', 'Carly Chaikin', 'Martin Wallström']",tt4158110
14,Star Trek: Discovery,2017,TV-14,7.2,"['Action', 'Adventure', 'Drama']","['Sonequa Martin-Green', 'Doug Jones', 'Anthony Rapp', 'Mary Wiseman']",tt5171438
15,Deadpool 2,2018,R,7.7,"['Action', 'Adventure', 'Comedy']","['David Leitch', 'Ryan Reynolds', 'Josh Brolin', 'Morena Baccarin', 'Julian Dennison']",tt5463162
16,Green Book,2018,PG-13,8.2,"['Biography', 'Comedy', 'Drama']","['Peter Farrelly', 'Viggo Mortensen', 'Mahershala Ali', 'Linda Cardellini', 'Sebastian Maniscalco']",tt6966692
17,Call Me by Your Name,2017,R,7.9,"['Drama', 'Romance']","['Luca Guadagnino', 'Armie Hammer', 'Timothée Chalamet', 'Michael Stuhlbarg', 'Amira Casar']",tt5726616
18,Batwoman,2019,TV-14,3.4,"['Action', 'Adventure', 'Crime']","['Camrus Johnson', 'Rachel Skarsten', 'Meagan Tandy', 'Nicole Kang']",tt8712204
19,Miss Peregrine's Home for Peculiar Children,2016,PG-13,6.7,"['Adventure', 'Drama', 'Family']","['Tim Burton', 'Eva Green', 'Asa Butterfield', 'Samuel L. Jackson', 'Judi Dench']",tt1935859
20,Brokeback Mountain,2005,R,7.7,"['Drama', 'Romance']","['Ang Lee', 'Jake Gyllenhaal', 'Heath Ledger', 'Michelle Williams', 'Randy Quaid']",tt0388795
21,Fantastic Beasts: The Crimes of Grindelwald,2018,PG-13,6.5,"['Adventure', 'Family', 'Fantasy']","['David Yates', 'Eddie Redmayne', 'Katherine Waterston', 'Dan Fogler', 'Johnny Depp']",tt4123430
22,The West Wing,1999,TV-14,8.8,['Drama'],"['Martin Sheen', 'Rob Lowe', 'Allison Janney', 'John Spencer']",tt0200276
23,Bohemian Rhapsody,2018,PG-13,7.9,"['Biography', 'Drama', 'Music']","['Queen', 'Freddie Mercury', 'Bryan Singer', 'Rami Malek', 'Lucy Boynton', 'Gwilym Lee', 'Ben Hardy']",tt1727824
24,A Simple Favor,2018,R,6.8,"['Comedy', 'Crime', 'Mystery']","['Paul Feig', 'Anna Kendrick', 'Blake Lively', 'Henry Golding', 'Andrew Rannells']",tt7040874
25,Harley Quinn,2019,TV-MA,8.5,"['Animation', 'Action', 'Adventure']","['Kaley Cuoco', 'Lake Bell', 'Alan Tudyk', 'Ron Funches']",tt7658402
26,Beauty and the Beast,2017,PG,7.1,"['Family', 'Fantasy', 'Musical']","['Bill Condon', 'Emma Watson', 'Dan Stevens', 'Luke Evans', 'Josh Gad']",tt2771200
27,Jennifer's Body,2009,R,5.3,"['Comedy', 'Horror']","['Karyn Kusama', 'Megan Fox', 'Amanda Seyfried', 'Adam Brody', 'Johnny Simmons']",tt1131734
28,Star Trek Beyond,2016,PG-13,7.0,"['Action', 'Adventure', 'Sci-Fi']","['Justin Lin', 'Chris Pine', 'Zachary Quinto', 'Karl Urban', 'Zoe Saldana']",tt2660888
29,The Old Guard,2020,R,6.7,"['Action', 'Adventure', 'Fantasy']","['Gina Prince-Bythewood', 'Charlize Theron', 'KiKi Layne', 'Matthias Schoenaerts', 'Marwan Kenzari']",tt7556122
30,Dracula,1992,R,7.4,['Horror'],"['Francis Ford Coppola', 'Gary Oldman', 'Winona Ryder', 'Anthony Hopkins', 'Keanu Reeves']",tt0103874
31,Mulholland Dr.,2001,R,7.9,"['Drama', 'Mystery', 'Thriller']","['David Lynch', 'Naomi Watts', 'Laura Harring', 'Justin Theroux', 'Jeanne Bates']",tt0166924
32,Solo: A Star Wars Story,2018,PG-13,6.9,"['Action', 'Adventure', 'Sci-Fi']","['Ron Howard', 'Alden Ehrenreich', 'Woody Harrelson', 'Emilia Clarke', 'Donald Glover']",tt3778644
33,Moonlight,2016,R,7.4,['Drama'],"['Barry Jenkins', 'Mahershala Ali', 'Naomie Harris', 'Trevante Rhodes', 'Alex R. Hibbert']",tt4975722
34,The Haunting of Bly Manor,2020,TV-MA,7.4,"['Drama', 'Horror', 'Mystery']","['Victoria Pedretti', 'Oliver Jackson-Cohen', 'Amelia Eve', ""T'Nia Miller""]",tt1097055
35,500 Days of Summer,2009,PG-13,7.7,"['Comedy', 'Drama', 'Romance']","['Marc Webb', 'Zooey Deschanel', 'Joseph Gordon-Levitt', 'Geoffrey Arend', 'Chloë Grace Moretz']",tt1022603
36,Blue Is the Warmest Colour,2013,NC-17,7.7,"['Drama', 'Romance']","['Abdellatif Kechiche', 'Léa Seydoux', 'Adèle Exarchopoulos', 'Salim Kechiouche', 'Aurélien Recoing']",tt2278871
37,Amadeus,1984,R,8.3,"['Biography', 'Drama', 'History']","['Wolfgang Amadeus Mozart', 'Antonio Salieri', 'Milos Forman', 'F. Murray Abraham', 'Tom Hulce', 'Elizabeth Berridge', 'Roy Dotrice']",tt0086879
38,Will & Grace,1998,TV-14,7.2,"['Comedy', 'Romance']","['Eric McCormack', 'Debra Messing', 'Megan Mullally', 'Sean Hayes']",tt0157246
39,When They See Us,2019,TV-MA,8.9,"['Biography', 'Crime', 'Drama']","['Asante Blackk', 'Caleel Harris', 'Ethan Herisse', 'Marquis Rodriguez']",tt7137906
40,Onward,2020,PG,7.4,"['Animation', 'Adventure', 'Comedy']","['Dan Scanlon', 'Tom Holland', 'Chris Pratt', 'Julia Louis-Dreyfus', 'Octavia Spencer']",tt7146812
41,DuckTales,2017,TV-Y,8.3,"['Animation', 'Action', 'Adventure']","['David Tennant', 'Ben Schwartz', 'Danny Pudi', 'Bobby Moynihan']",tt5531466
42,Motherland: Fort Salem,2020,TV-14,7.2,"['Drama', 'Fantasy', 'Sci-Fi']","['Taylor Hickson', 'Amalia Holm', 'Jessica Sutton', 'Ashley Nicole Williams']",tt9900092
43,Some Like It Hot,1959,Passed,8.2,"['Comedy', 'Music', 'Romance']","['Billy Wilder', 'Marilyn Monroe', 'Tony Curtis', 'Jack Lemmon', 'George Raft']",tt0053291
44,The Neon Demon,2016,R,6.2,"['Horror', 'Thriller']","['Nicolas Winding Refn', 'Elle Fanning', 'Christina Hendricks', 'Keanu Reeves', 'Karl Glusman']",tt1974419
45,The Rocky Horror Picture Show,1975,R,7.4,"['Comedy', 'Musical']","['Jim Sharman', 'Tim Curry', 'Susan Sarandon', 'Barry Bostwick', ""Richard O'Brien""]",tt0073629
46,Supernova,2020,R,6.7,"['Drama', 'Romance']","['Harry Macqueen', 'Colin Firth', 'Stanley Tucci', 'Pippa Haywood', 'Peter MacQueen']",tt1116905
47,Dickinson,2019,TV-14,7.4,"['Biography', 'Comedy', 'Drama']","['Adrian Enscoe', 'Hailee Steinfeld', 'Anna Baryshnikov', 'Jane Krakowski']",tt8518136
48,Interview with the Vampire: The Vampire Chronicles,1994,R,7.5,"['Drama', 'Horror']","['Neil Jordan', 'Brad Pitt', 'Tom Cruise', 'Antonio Banderas', 'Kirsten Dunst']",tt0110148
49,The Politician,2019,TV-14,7.5,"['Comedy', 'Drama']","['Ben Platt', 'Zoey Deutch', 'Lucy Boynton', 'Julia Schlaepfer']",tt7971476
50,Y Tu Mamá También,2001,R,7.6,['Drama'],"['Alfonso Cuarón', 'Maribel Verdú', 'Gael García Bernal', 'Daniel Giménez Cacho', 'Ana López Mercado']",tt0245574
51,The Owl House,2020,TV-Y7-FV,8.1,"['Animation', 'Action', 'Adventure']","['Sarah-Nicole Robles', 'Wendie Malick', 'Alex Hirsch', 'Eden Riegel']",tt8050756
52,Steven Universe,2013,TV-PG,8.2,"['Animation', 'Action', 'Adventure']","['Zach Callison', 'Deedee Magno', 'Michaela Dietz', 'Estelle']",tt3061046
53,The Last of Us: Part II,2020 Video Game,M,8.3,"['Action', 'Adventure', 'Drama']","['Neil Druckmann', 'Kurt Margenau', 'Anthony Newman', 'Troy Baker', 'Ashley Johnson', 'Derek Phillips', 'Jeffrey Pierce']",tt6298000
54,Revenge of the Nerds,1984,R,6.6,['Comedy'],"['Jeff Kanew', 'Robert Carradine', 'Anthony Edwards', 'Timothy Busfield', 'Andrew Cassese']",tt0088000
55,Dynasty,1981,TV-PG,6.3,"['Drama', 'Romance']","['John Forsythe', 'Linda Evans', 'Joan Collins', 'Gordon Thomson']",tt0081856
56,Power Rangers,2017,PG-13,5.9,"['Action', 'Adventure', 'Sci-Fi']","['Dean Israelite', 'Dacre Montgomery', 'Naomi Scott', 'RJ Cyler', 'Ludi Lin']",tt3717490
57,Ghost in the Shell,2017,PG-13,6.3,"['Action', 'Crime', 'Drama']","['Rupert Sanders', 'Scarlett Johansson', 'Pilou Asbæk', 'Takeshi Kitano', 'Juliette Binoche']",tt1219827
